,values,eff,size,lowerCI_95%,upperCI_95%,feature
10,10.0,0.0,112.0,0.0,0.0,http_interlog_time_q1
11,11.0,0.0,119.0,0.0,0.0,http_interlog_time_q1
12,12.0,0.0,100.0,0.0,0.0,http_interlog_time_q1
13,13.0,0.0,124.0,0.0,0.0,http_interlog_time_q1
14,14.0,0.0,90.0,0.0,0.0,http_interlog_time_q1
15,15.0,0.0,99.0,0.0,0.0,http_interlog_time_q1
16,16.0,0.0,95.0,0.0,0.0,http_interlog_time_q1
17,17.0,0.0,88.0,0.0,0.0,http_interlog_time_q1
18,18.0,0.0,92.0,0.0,0.0,http_interlog_time_q1
19,20.0,0.0,148.0,0.0,0.0,http_interlog_time_q1
20,21.0,0.0,53.0,0.0,0.0,http_interlog_time_q1
21,23.0,0.0,126.0,0.0,0.0,http_interlog_time_q1
22,25.0,0.0,118.0,0.0,0.0,http_interlog_time_q1
23,27.0,0.0,84.0,0.0,0.0,http_interlog_time_q1
24,29.0,0.0,89.0,0.0,0.0,http_interlog_time_q1
25,32.0,0.0,106.0,0.0,0.0,http_interlog_time_q1
26,35.0,0.0,118.0,0.0,0.0,http_interlog_time_q1
27,39.0,0.0,128.0,0.0,0.0,http_interlog_time_q1
28,42.0,0.0,78.0,0.0,0.0,http_interlog_time_q1
29,49.0,0.0,115.0,0.0,0.0,http_interlog_time_q1
30,54.0,0.0,104.0,0.0,0.0,http_interlog_time_q1
31,61.0,0.0,116.0,0.0,0.0,http_interlog_time_q1
32,66.0,0.0,103.0,0.0,0.0,http_interlog_time_q1
33,73.0,0.0,110.0,0.0,0.0,http_interlog_time_q1
34,82.0,0.0,93.0,0.0,0.0,http_interlog_time_q1
35,95.0,0.0,109.0,0.0,0.0,http_interlog_time_q1
36,110.0,0.0,107.0,0.0,0.0,http_interlog_time_q1
37,145.0,0.0,110.0,0.0,0.0,http_interlog_time_q1
38,232.0,0.0,104.0,0.0,0.0,http_interlog_time_q1
39,2641.0,0.0,108.0,0.0,0.0,http_interlog_time_q1
0,0.0,0.0,2735.0,,,http_interlog_time_q2
1,1.0,0.0,1394.0,0.0,0.0,http_interlog_time_q2
2,2.0,0.0,714.0,0.0,0.0,http_interlog_time_q2
3,3.0,0.0,323.0,0.0,0.0,http_interlog_time_q2
4,4.0,0.0,141.0,0.0,0.0,http_interlog_time_q2
5,5.0,0.0,49.0,0.0,0.0,http_interlog_time_q2
6,6.0,0.0,4.0,0.0,0.0,http_interlog_time_q2
7,7.0,0.0,9.0,0.0,0.0,http_interlog_time_q2
8,8.0,0.0,2.0,0.0,0.0,http_interlog_time_q2
0,0.0,0.0,3644.0,,,http_interlog_time_q3
1,1.0,0.0,1316.0,0.0,0.0,http_interlog_time_q3
2,2.0,0.0,343.0,0.0,0.0,http_interlog_time_q3
3,3.0,0.0,55.0,0.0,0.0,http_interlog_time_q3
4,4.0,0.0,8.0,0.0,0.0,http_interlog_time_q3
5,5.0,0.0,5.0,0.0,0.0,http_interlog_time_q3
0,0.0,0.0,4481.0,,,http_interlog_time_q4
1,1.0,0.0,721.0,0.0,0.0,http_interlog_time_q4
2,2.0,0.0,136.0,0.0,0.0,http_interlog_time_q4
3,3.0,0.0,24.0,0.0,0.0,http_interlog_time_q4
4,4.0,0.0,9.0,0.0,0.0,http_interlog_time_q4
0,0.0,0.0,5137.0,,,http_interlog_time_q5
1,1.0,0.0,206.0,0.0,0.0,http_interlog_time_q5
2,2.0,0.0,28.0,0.0,0.0,http_interlog_time_q5
0,0.0,-0.008176184270021545,0.0,,,mean_interlog_time_dns_interlog_time
1,0.036,-0.008176184270021545,3013.0,-0.008176184270021545,-0.008176184270021545,mean_interlog_time_dns_interlog_time
2,0.10166666666666667,0.010871434777597505,105.0,-0.01570878540640684,0.03745165496160185,mean_interlog_time_dns_interlog_time
3,0.194,0.010871434777597505,105.0,0.010871434777597505,0.010871434777597505,mean_interlog_time_dns_interlog_time
4,0.34611111111111115,0.010871434777597505,112.0,0.010871434777597505,0.010871434777597505,mean_interlog_time_dns_interlog_time
5,0.5459729729729728,0.010871434777597505,102.0,0.010871434777597505,0.010871434777597505,mean_interlog_time_dns_interlog_time
6,1.0614567901234568,0.010871434777597505,109.0,0.010871434777597505,0.010871434777597505,mean_interlog_time_dns_interlog_time
7,2.740063829787234,0.010871434777597505,107.0,0.010871434777597505,0.010871434777597505,mean_interlog_time_dns_interlog_time
8,3.9790769230769234,0.010871434777597505,107.0,0.010871434777597505,0.010871434777597505,mean_interlog_time_dns_interlog_time
9,5.952296511627908,0.010871434777597505,107.0,0.010871434777597505,0.010871434777597505,mean_interlog_time_dns_interlog_time
10,6.388571428571429,0.010871434777597505,108.0,0.010871434777597505,0.010871434777597505,mean_interlog_time_dns_interlog_time
11,6.678267692307692,0.010871434777597505,107.0,0.010871434777597505,0.010871434777597505,mean_interlog_time_dns_interlog_time
12,6.846041176470588,0.010871434777597505,107.0,0.010871434777597505,0.010871434777597505,mean_interlog_time_dns_interlog_time
13,6.981888667992047,0.010871434777597505,107.0,0.010871434777597505,0.010871434777597505,mean_interlog_time_dns_interlog_time
14,7.112557692307693,0.010871434777597505,110.0,0.010871434777597505,0.010871434777597505,mean_interlog_time_dns_interlog_time
15,7.2824216417910455,0.010871434777597505,105.0,0.010871434777597505,0.010871434777597505,mean_interlog_time_dns_interlog_time
16,7.4353475479744136,0.010871434777597505,108.0,0.010871434777597505,0.010871434777597505,mean_interlog_time_dns_interlog_time
17,7.612500000000001,0.010871434777597505,107.0,0.010871434777597505,0.010871434777597505,mean_interlog_time_dns_interlog_time
18,7.911112866817156,0.010871434777597505,107.0,0.010871434777597505,0.010871434777597505,mean_interlog_time_dns_interlog_time
19,8.822240896358544,0.010871434777597505,108.0,0.010871434777597505,0.010871434777597505,mean_interlog_time_dns_interlog_time
20,14.495807692307691,0.010871434777597505,107.0,0.010871434777597505,0.010871434777597505,mean_interlog_time_dns_interlog_time
21,20.1245,0.010871434777597505,110.0,0.010871434777597505,0.010871434777597505,mean_interlog_time_dns_interlog_time
22,30.945,0.010871434777597505,108.0,0.010871434777597505,0.010871434777597505,mean_interlog_time_dns_interlog_time
23,131.622,0.010871434777597505,105.0,0.010871434777597505,0.010871434777597505,mean_interlog_time_dns_interlog_time
0,0.0,0.003611645531213582,0.0,,,mean_interlog_time_ssl_interlog_time
1,0.0835,0.003611645531213582,326.0,0.003611645531213582,0.003611645531213582,mean_interlog_time_ssl_interlog_time
2,0.4798800000000001,0.003611645531213582,104.0,0.003611645531213582,0.003611645531213582,mean_interlog_time_ssl_interlog_time
3,1.114439024390244,0.003611645531213582,107.0,0.003611645531213582,0.003611645531213582,mean_interlog_time_ssl_interlog_time
4,1.612953086419753,0.003611645531213582,108.0,0.003611645531213582,0.003611645531213582,mean_interlog_time_ssl_interlog_time
