,Hyperparameter1,Hyperparameter2,Hyperparameter1_value,Hyperparameter2_value,pdp2d_value
93,Model__min_child_weight,Model__n_estimators,1,91,0.6506432083249092
94,Model__min_child_weight,Model__n_estimators,1,92,0.6506432083249092
95,Model__min_child_weight,Model__n_estimators,1,93,0.6506432083249092
96,Model__min_child_weight,Model__n_estimators,1,94,0.6506432083249092
97,Model__min_child_weight,Model__n_estimators,1,95,0.6506432083249092
98,Model__min_child_weight,Model__n_estimators,1,96,0.6506432083249092
99,Model__min_child_weight,Model__n_estimators,1,97,0.6506432083249092
100,Model__min_child_weight,Model__n_estimators,1,98,0.6506432083249092
101,Model__min_child_weight,Model__n_estimators,1,99,0.6506432083249092
102,Model__min_child_weight,Model__n_estimators,1,100,0.6504010677933693
103,Model__min_child_weight,Model__n_estimators,2,25,0.6246964493989945
104,Model__min_child_weight,Model__n_estimators,2,26,0.6246964493989945
105,Model__min_child_weight,Model__n_estimators,2,27,0.6246964493989945
106,Model__min_child_weight,Model__n_estimators,2,28,0.6246964493989945
107,Model__min_child_weight,Model__n_estimators,2,29,0.6246964493989945
108,Model__min_child_weight,Model__n_estimators,2,30,0.6246964493989945
109,Model__min_child_weight,Model__n_estimators,2,31,0.6246964493989945
110,Model__min_child_weight,Model__n_estimators,2,32,0.6246964493989945
111,Model__min_child_weight,Model__n_estimators,2,33,0.6246964493989945
112,Model__min_child_weight,Model__n_estimators,2,34,0.6246964493989945
113,Model__min_child_weight,Model__n_estimators,2,35,0.6246964493989945
114,Model__min_child_weight,Model__n_estimators,2,36,0.6246964493989945
115,Model__min_child_weight,Model__n_estimators,2,37,0.6246964493989945
116,Model__min_child_weight,Model__n_estimators,2,38,0.6246964493989945
117,Model__min_child_weight,Model__n_estimators,2,39,0.6246964493989945
118,Model__min_child_weight,Model__n_estimators,2,40,0.6246964493989945
119,Model__min_child_weight,Model__n_estimators,2,41,0.6246964493989945
120,Model__min_child_weight,Model__n_estimators,2,42,0.6246964493989945
121,Model__min_child_weight,Model__n_estimators,2,43,0.6246964493989945
122,Model__min_child_weight,Model__n_estimators,2,44,0.6246964493989945
123,Model__min_child_weight,Model__n_estimators,2,45,0.6246964493989945
124,Model__min_child_weight,Model__n_estimators,2,46,0.6246964493989945
125,Model__min_child_weight,Model__n_estimators,2,47,0.6246964493989945
126,Model__min_child_weight,Model__n_estimators,2,48,0.6246964493989945
127,Model__min_child_weight,Model__n_estimators,2,49,0.6246964493989945
128,Model__min_child_weight,Model__n_estimators,2,50,0.6413603092432022
129,Model__min_child_weight,Model__n_estimators,2,51,0.6413603092432022
130,Model__min_child_weight,Model__n_estimators,2,52,0.6413603092432022
131,Model__min_child_weight,Model__n_estimators,2,53,0.6413603092432022
132,Model__min_child_weight,Model__n_estimators,2,54,0.6413603092432022
133,Model__min_child_weight,Model__n_estimators,2,55,0.6413603092432022
134,Model__min_child_weight,Model__n_estimators,2,56,0.6413603092432022
135,Model__min_child_weight,Model__n_estimators,2,57,0.6413603092432022
136,Model__min_child_weight,Model__n_estimators,2,58,0.6413603092432022
137,Model__min_child_weight,Model__n_estimators,2,59,0.6413603092432022
138,Model__min_child_weight,Model__n_estimators,2,60,0.6413603092432022
139,Model__min_child_weight,Model__n_estimators,2,61,0.6413603092432022
140,Model__min_child_weight,Model__n_estimators,2,62,0.6413603092432022
141,Model__min_child_weight,Model__n_estimators,2,63,0.6413603092432022
142,Model__min_child_weight,Model__n_estimators,2,64,0.6413603092432022
143,Model__min_child_weight,Model__n_estimators,2,65,0.6413603092432022
144,Model__min_child_weight,Model__n_estimators,2,66,0.6413603092432022
145,Model__min_child_weight,Model__n_estimators,2,67,0.6413603092432022
146,Model__min_child_weight,Model__n_estimators,2,68,0.6413603092432022
147,Model__min_child_weight,Model__n_estimators,2,69,0.6413603092432022
148,Model__min_child_weight,Model__n_estimators,2,70,0.6413603092432022
149,Model__min_child_weight,Model__n_estimators,2,71,0.6413603092432022
150,Model__min_child_weight,Model__n_estimators,2,72,0.6413603092432022
151,Model__min_child_weight,Model__n_estimators,2,73,0.6413603092432022
152,Model__min_child_weight,Model__n_estimators,2,74,0.6413603092432022
153,Model__min_child_weight,Model__n_estimators,2,75,0.6506432083249092
154,Model__min_child_weight,Model__n_estimators,2,76,0.6506432083249092
155,Model__min_child_weight,Model__n_estimators,2,77,0.6506432083249092
156,Model__min_child_weight,Model__n_estimators,2,78,0.6506432083249092
157,Model__min_child_weight,Model__n_estimators,2,79,0.6506432083249092
158,Model__min_child_weight,Model__n_estimators,2,80,0.6506432083249092
159,Model__min_child_weight,Model__n_estimators,2,81,0.6506432083249092
160,Model__min_child_weight,Model__n_estimators,2,82,0.6506432083249092
161,Model__min_child_weight,Model__n_estimators,2,83,0.6506432083249092
162,Model__min_child_weight,Model__n_estimators,2,84,0.6506432083249092
163,Model__min_child_weight,Model__n_estimators,2,85,0.6506432083249092
164,Model__min_child_weight,Model__n_estimators,2,86,0.6506432083249092
165,Model__min_child_weight,Model__n_estimators,2,87,0.6506432083249092
166,Model__min_child_weight,Model__n_estimators,2,88,0.6506432083249092
167,Model__min_child_weight,Model__n_estimators,2,89,0.6506432083249092
168,Model__min_child_weight,Model__n_estimators,2,90,0.6506432083249092
169,Model__min_child_weight,Model__n_estimators,2,91,0.6506432083249092
170,Model__min_child_weight,Model__n_estimators,2,92,0.6506432083249092
171,Model__min_child_weight,Model__n_estimators,2,93,0.6506432083249092
172,Model__min_child_weight,Model__n_estimators,2,94,0.6506432083249092
173,Model__min_child_weight,Model__n_estimators,2,95,0.6506432083249092
174,Model__min_child_weight,Model__n_estimators,2,96,0.6506432083249092
175,Model__min_child_weight,Model__n_estimators,2,97,0.6506432083249092
176,Model__min_child_weight,Model__n_estimators,2,98,0.6506432083249092
177,Model__min_child_weight,Model__n_estimators,2,99,0.6506432083249092
178,Model__min_child_weight,Model__n_estimators,2,100,0.6504010677933693
179,Model__min_child_weight,Model__n_estimators,3,25,0.624121234357357
180,Model__min_child_weight,Model__n_estimators,3,26,0.624121234357357
181,Model__min_child_weight,Model__n_estimators,3,27,0.624121234357357
182,Model__min_child_weight,Model__n_estimators,3,28,0.624121234357357
183,Model__min_child_weight,Model__n_estimators,3,29,0.624121234357357
184,Model__min_child_weight,Model__n_estimators,3,30,0.624121234357357
185,Model__min_child_weight,Model__n_estimators,3,31,0.624121234357357
186,Model__min_child_weight,Model__n_estimators,3,32,0.624121234357357
187,Model__min_child_weight,Model__n_estimators,3,33,0.624121234357357
188,Model__min_child_weight,Model__n_estimators,3,34,0.624121234357357
189,Model__min_child_weight,Model__n_estimators,3,35,0.624121234357357
190,Model__min_child_weight,Model__n_estimators,3,36,0.624121234357357
191,Model__min_child_weight,Model__n_estimators,3,37,0.624121234357357
192,Model__min_child_weight,Model__n_estimators,3,38,0.624121234357357
193,Model__min_child_weight,Model__n_estimators,3,39,0.624121234357357
194,Model__min_child_weight,Model__n_estimators,3,40,0.624121234357357
195,Model__min_child_weight,Model__n_estimators,3,41,0.624121234357357
196,Model__min_child_weight,Model__n_estimators,3,42,0.624121234357357
197,Model__min_child_weight,Model__n_estimators,3,43,0.624121234357357
198,Model__min_child_weight,Model__n_estimators,3,44,0.624121234357357
199,Model__min_child_weight,Model__n_estimators,3,45,0.624121234357357
200,Model__min_child_weight,Model__n_estimators,3,46,0.624121234357357
201,Model__min_child_weight,Model__n_estimators,3,47,0.624121234357357
202,Model__min_child_weight,Model__n_estimators,3,48,0.624121234357357
203,Model__min_child_weight,Model__n_estimators,3,49,0.624121234357357
204,Model__min_child_weight,Model__n_estimators,3,50,0.6414140856266022
205,Model__min_child_weight,Model__n_estimators,3,51,0.6414140856266022
206,Model__min_child_weight,Model__n_estimators,3,52,0.6414140856266022
207,Model__min_child_weight,Model__n_estimators,3,53,0.6414140856266022
208,Model__min_child_weight,Model__n_estimators,3,54,0.6414140856266022
209,Model__min_child_weight,Model__n_estimators,3,55,0.6414140856266022
210,Model__min_child_weight,Model__n_estimators,3,56,0.6414140856266022
211,Model__min_child_weight,Model__n_estimators,3,57,0.6414140856266022
212,Model__min_child_weight,Model__n_estimators,3,58,0.6414140856266022
213,Model__min_child_weight,Model__n_estimators,3,59,0.6414140856266022
214,Model__min_child_weight,Model__n_estimators,3,60,0.6414140856266022
215,Model__min_child_weight,Model__n_estimators,3,61,0.6414140856266022
216,Model__min_child_weight,Model__n_estimators,3,62,0.6414140856266022
217,Model__min_child_weight,Model__n_estimators,3,63,0.6414140856266022
218,Model__min_child_weight,Model__n_estimators,3,64,0.6414140856266022
219,Model__min_child_weight,Model__n_estimators,3,65,0.6414140856266022
220,Model__min_child_weight,Model__n_estimators,3,66,0.6414140856266022
221,Model__min_child_weight,Model__n_estimators,3,67,0.6414140856266022
222,Model__min_child_weight,Model__n_estimators,3,68,0.6414140856266022
223,Model__min_child_weight,Model__n_estimators,3,69,0.6414140856266022
224,Model__min_child_weight,Model__n_estimators,3,70,0.6414140856266022
225,Model__min_child_weight,Model__n_estimators,3,71,0.6414140856266022
226,Model__min_child_weight,Model__n_estimators,3,72,0.6414140856266022
227,Model__min_child_weight,Model__n_estimators,3,73,0.6414140856266022
228,Model__min_child_weight,Model__n_estimators,3,74,0.6414140856266022
229,Model__min_child_weight,Model__n_estimators,3,75,0.6500735629796982
230,Model__min_child_weight,Model__n_estimators,3,76,0.6500735629796982
231,Model__min_child_weight,Model__n_estimators,3,77,0.6500735629796982
232,Model__min_child_weight,Model__n_estimators,3,78,0.6500735629796982
233,Model__min_child_weight,Model__n_estimators,3,79,0.6500735629796982
234,Model__min_child_weight,Model__n_estimators,3,80,0.6500735629796982
235,Model__min_child_weight,Model__n_estimators,3,81,0.6500735629796982
236,Model__min_child_weight,Model__n_estimators,3,82,0.6500735629796982
237,Model__min_child_weight,Model__n_estimators,3,83,0.6500735629796982
238,Model__min_child_weight,Model__n_estimators,3,84,0.6500735629796982
239,Model__min_child_weight,Model__n_estimators,3,85,0.6500735629796982
240,Model__min_child_weight,Model__n_estimators,3,86,0.6500735629796982
241,Model__min_child_weight,Model__n_estimators,3,87,0.6500735629796982
242,Model__min_child_weight,Model__n_estimators,3,88,0.6500735629796982
243,Model__min_child_weight,Model__n_estimators,3,89,0.6500735629796982
244,Model__min_child_weight,Model__n_estimators,3,90,0.6500735629796982
245,Model__min_child_weight,Model__n_estimators,3,91,0.6500735629796982
246,Model__min_child_weight,Model__n_estimators,3,92,0.6500735629796982
247,Model__min_child_weight,Model__n_estimators,3,93,0.6500735629796982
248,Model__min_child_weight,Model__n_estimators,3,94,0.6500735629796982
249,Model__min_child_weight,Model__n_estimators,3,95,0.6500735629796982
250,Model__min_child_weight,Model__n_estimators,3,96,0.6500735629796982
251,Model__min_child_weight,Model__n_estimators,3,97,0.6500735629796982
252,Model__min_child_weight,Model__n_estimators,3,98,0.6500735629796982
253,Model__min_child_weight,Model__n_estimators,3,99,0.6500735629796982
254,Model__min_child_weight,Model__n_estimators,3,100,0.650606683075428
255,Model__max_depth,Model__learning_rate,2,0.001,0.5997585172653198
256,Model__max_depth,Model__learning_rate,2,0.01,0.6271023905277252
257,Model__max_depth,Model__learning_rate,2,0.1,0.6747773950695991
258,Model__max_depth,Model__learning_rate,3,0.001,0.5997585172653198
259,Model__max_depth,Model__learning_rate,3,0.01,0.6271023905277252
260,Model__max_depth,Model__learning_rate,3,0.1,0.6747773950695991
261,Model__max_depth,Model__learning_rate,4,0.001,0.599768620789051
262,Model__max_depth,Model__learning_rate,4,0.01,0.63586128115654
263,Model__max_depth,Model__learning_rate,4,0.1,0.6651769242882729
264,Model__max_depth,Model__learning_rate,5,0.001,0.599768620789051
265,Model__max_depth,Model__learning_rate,5,0.01,0.63586128115654
266,Model__max_depth,Model__learning_rate,5,0.1,0.6651769242882729
267,Model__max_depth,Model__learning_rate,6,0.001,0.599768620789051
268,Model__max_depth,Model__learning_rate,6,0.01,0.6521178742647171
269,Model__max_depth,Model__learning_rate,6,0.1,0.6688206450939178
270,Model__max_depth,Model__learning_rate,7,0.001,0.599768620789051
271,Model__max_depth,Model__learning_rate,7,0.01,0.6521178742647171
272,Model__max_depth,Model__learning_rate,7,0.1,0.6688206450939178
273,Model__max_depth,Model__learning_rate,8,0.001,0.599768620789051
274,Model__max_depth,Model__learning_rate,8,0.01,0.6521178742647171
275,Model__max_depth,Model__learning_rate,8,0.1,0.6688206450939178
276,Model__max_depth,Model__learning_rate,9,0.001,0.599768620789051
277,Model__max_depth,Model__learning_rate,9,0.01,0.6521178742647171
278,Model__max_depth,Model__learning_rate,9,0.1,0.6688206450939178
279,Model__max_depth,Model__learning_rate,10,0.001,0.5997707417011261
280,Model__max_depth,Model__learning_rate,10,0.01,0.654639090180397
281,Model__max_depth,Model__learning_rate,10,0.1,0.6698031033277512
282,Model__max_depth,preprocessor__num__scaler,2,StandardScaler(),0.6324963468313217
283,Model__max_depth,preprocessor__num__scaler,2,MinMaxScaler(),0.6324963468313217
284,Model__max_depth,preprocessor__num__scaler,2,RobustScaler(),0.6324963468313217
285,Model__max_depth,preprocessor__num__scaler,3,StandardScaler(),0.6324963468313217
286,Model__max_depth,preprocessor__num__scaler,3,MinMaxScaler(),0.6324963468313217
287,Model__max_depth,preprocessor__num__scaler,3,RobustScaler(),0.6324963468313217
288,Model__max_depth,preprocessor__num__scaler,4,StandardScaler(),0.6346949075460434
289,Model__max_depth,preprocessor__num__scaler,4,MinMaxScaler(),0.6346949075460434
290,Model__max_depth,preprocessor__num__scaler,4,RobustScaler(),0.6346949075460434
291,Model__max_depth,preprocessor__num__scaler,5,StandardScaler(),0.6346949075460434
292,Model__max_depth,preprocessor__num__scaler,5,MinMaxScaler(),0.6346949075460434
293,Model__max_depth,preprocessor__num__scaler,5,RobustScaler(),0.6346949075460434
294,Model__max_depth,preprocessor__num__scaler,6,StandardScaler(),0.6441254140138626
295,Model__max_depth,preprocessor__num__scaler,6,MinMaxScaler(),0.6441254140138626
296,Model__max_depth,preprocessor__num__scaler,6,RobustScaler(),0.6441254140138626
297,Model__max_depth,preprocessor__num__scaler,7,StandardScaler(),0.6441254140138626
298,Model__max_depth,preprocessor__num__scaler,7,MinMaxScaler(),0.6441254140138626
299,Model__max_depth,preprocessor__num__scaler,7,RobustScaler(),0.6441254140138626
300,Model__max_depth,preprocessor__num__scaler,8,StandardScaler(),0.6441254140138626
301,Model__max_depth,preprocessor__num__scaler,8,MinMaxScaler(),0.6441254140138626
302,Model__max_depth,preprocessor__num__scaler,8,RobustScaler(),0.6441254140138626
303,Model__max_depth,preprocessor__num__scaler,9,StandardScaler(),0.6441254140138626
304,Model__max_depth,preprocessor__num__scaler,9,MinMaxScaler(),0.6441254140138626
305,Model__max_depth,preprocessor__num__scaler,9,RobustScaler(),0.6441254140138626
306,Model__max_depth,preprocessor__num__scaler,10,StandardScaler(),0.6456932403445244
307,Model__max_depth,preprocessor__num__scaler,10,MinMaxScaler(),0.6456932403445244
308,Model__max_depth,preprocessor__num__scaler,10,RobustScaler(),0.6456932403445244
