,y_true,y_pred,y_pred_proba
0,0,0,0.23621248
0,0,0,0.40063363
0,0,1,0.5114073
0,0,0,0.4656705
0,0,1,0.5318828
0,0,1,0.62711996
0,0,0,0.25373363
0,0,0,0.4719527
0,0,0,0.48315096
0,0,1,0.5984091
0,0,1,0.5624961
0,0,1,0.558406
0,0,1,0.64067715
0,0,1,0.64067715
0,0,1,0.66544145
0,0,1,0.6006269
0,0,1,0.6059642
0,0,1,0.6130199
0,0,0,0.2989725
0,0,0,0.37017518
0,0,1,0.6007407
0,0,1,0.8083591
0,0,1,0.7882964
0,0,1,0.793306
0,0,1,0.77137035
0,0,1,0.60788214
0,0,1,0.66335213
0,0,1,0.6579246
0,0,1,0.66222215
0,0,1,0.80277926
0,0,1,0.78749645
0,0,1,0.6725041
0,0,1,0.69486606
0,0,1,0.812466
0,0,1,0.6338868
0,0,1,0.5866149
0,0,1,0.56251293
0,0,1,0.5081414
0,0,0,0.46080163
0,0,0,0.40510064
0,0,0,0.42567036
0,0,0,0.23492809
0,0,0,0.25883687
0,0,0,0.45222026
0,0,1,0.60635704
0,0,1,0.60635704
0,0,1,0.6228592
0,0,1,0.7899934
0,0,1,0.7899934
0,0,1,0.7899934
0,0,1,0.6313971
0,0,1,0.6313971
0,0,1,0.539923
0,0,0,0.48311612
0,0,0,0.35421184
0,0,0,0.19446585
0,0,1,0.5566977
0,0,0,0.23478305
0,0,0,0.41725385
0,0,1,0.53220314
0,0,1,0.6007407
0,0,1,0.6189644
0,0,1,0.59544784
0,0,1,0.59544784
0,0,0,0.4993766
0,0,0,0.4993766
0,0,1,0.54357505
0,0,1,0.52021086
0,0,0,0.3626034
0,0,0,0.31721848
0,0,0,0.33228794
0,0,0,0.16863023
0,0,1,0.6205451
0,0,0,0.45513782
0,0,0,0.45922214
0,0,1,0.52643955
0,0,1,0.57844746
0,0,1,0.71913236
0,0,1,0.6106102
0,0,0,0.4660281
0,0,0,0.2407984
0,0,0,0.42449686
0,0,1,0.53220314
0,0,1,0.5150382
0,0,0,0.31643763
0,0,0,0.20110337
0,0,0,0.42449686
0,0,1,0.5012568
0,0,0,0.4699079
0,0,0,0.38772988
0,0,0,0.28503123
0,0,0,0.28503123
0,0,0,0.39883086
0,0,0,0.40543723
0,0,0,0.47419816
0,0,0,0.45514545
0,0,0,0.4733798
0,0,0,0.4684008
0,0,0,0.47580674
0,0,0,0.49968097
0,0,0,0.34304926
0,0,0,0.21094267
0,0,0,0.20331994
0,0,0,0.26991668
0,0,0,0.26991668
0,0,0,0.24498126
0,0,0,0.26568282
0,0,0,0.26568282
0,0,0,0.28060946
0,0,0,0.2754464
