,eff,values,feature
0,0.0,0.48360616,dns_interlog_time_q1
1,4.515151515151516,0.48360616,dns_interlog_time_q1
2,9.030303030303031,0.48360616,dns_interlog_time_q1
3,13.545454545454547,0.48360616,dns_interlog_time_q1
4,18.060606060606062,0.48360616,dns_interlog_time_q1
5,22.575757575757578,0.48360616,dns_interlog_time_q1
6,27.090909090909093,0.46565068,dns_interlog_time_q1
7,31.60606060606061,0.40676302,dns_interlog_time_q1
8,36.121212121212125,0.37013802,dns_interlog_time_q1
9,40.63636363636364,0.37013802,dns_interlog_time_q1
10,45.151515151515156,0.37013802,dns_interlog_time_q1
11,49.66666666666667,0.37013802,dns_interlog_time_q1
12,54.18181818181819,0.37013802,dns_interlog_time_q1
13,58.6969696969697,0.37013802,dns_interlog_time_q1
14,63.21212121212122,0.19749595,dns_interlog_time_q1
15,67.72727272727273,0.19749595,dns_interlog_time_q1
16,72.24242424242425,0.19749595,dns_interlog_time_q1
17,76.75757575757576,0.19749595,dns_interlog_time_q1
18,81.27272727272728,0.19749595,dns_interlog_time_q1
19,85.7878787878788,0.19749595,dns_interlog_time_q1
20,90.30303030303031,0.062360857,dns_interlog_time_q1
21,94.81818181818183,0.062360857,dns_interlog_time_q1
22,99.33333333333334,0.062360857,dns_interlog_time_q1
23,103.84848484848486,0.062360857,dns_interlog_time_q1
24,108.36363636363637,0.062360857,dns_interlog_time_q1
25,112.87878787878789,0.062360857,dns_interlog_time_q1
26,117.3939393939394,0.062360857,dns_interlog_time_q1
27,121.90909090909092,0.062360857,dns_interlog_time_q1
28,126.42424242424244,0.062360857,dns_interlog_time_q1
29,130.93939393939394,0.062360857,dns_interlog_time_q1
30,135.45454545454547,0.053910032,dns_interlog_time_q1
31,139.969696969697,0.053910032,dns_interlog_time_q1
32,144.4848484848485,0.053910032,dns_interlog_time_q1
33,149.0,0.053910032,dns_interlog_time_q1
34,153.51515151515153,0.053910032,dns_interlog_time_q1
35,158.03030303030306,0.053910032,dns_interlog_time_q1
36,162.54545454545456,0.053910032,dns_interlog_time_q1
37,167.06060606060606,0.053910032,dns_interlog_time_q1
38,171.5757575757576,0.053910032,dns_interlog_time_q1
39,176.09090909090912,0.053910032,dns_interlog_time_q1
40,180.60606060606062,0.053910032,dns_interlog_time_q1
41,185.12121212121212,0.053910032,dns_interlog_time_q1
42,189.63636363636365,0.053910032,dns_interlog_time_q1
43,194.15151515151518,0.053910032,dns_interlog_time_q1
44,198.66666666666669,0.053910032,dns_interlog_time_q1
45,203.1818181818182,0.053910032,dns_interlog_time_q1
46,207.69696969696972,0.053910032,dns_interlog_time_q1
47,212.21212121212125,0.053910032,dns_interlog_time_q1
48,216.72727272727275,0.053910032,dns_interlog_time_q1
49,221.24242424242425,0.053910032,dns_interlog_time_q1
50,225.75757575757578,0.053910032,dns_interlog_time_q1
51,230.2727272727273,0.053910032,dns_interlog_time_q1
52,234.7878787878788,0.053910032,dns_interlog_time_q1
53,239.3030303030303,0.053910032,dns_interlog_time_q1
54,243.81818181818184,0.053910032,dns_interlog_time_q1
55,248.33333333333337,0.053910032,dns_interlog_time_q1
56,252.84848484848487,0.053910032,dns_interlog_time_q1
57,257.3636363636364,0.053910032,dns_interlog_time_q1
58,261.8787878787879,0.053910032,dns_interlog_time_q1
59,266.39393939393943,0.053910032,dns_interlog_time_q1
60,270.90909090909093,0.053910032,dns_interlog_time_q1
61,275.42424242424244,0.053910032,dns_interlog_time_q1
62,279.939393939394,0.053910032,dns_interlog_time_q1
63,284.4545454545455,0.053910032,dns_interlog_time_q1
64,288.969696969697,0.053910032,dns_interlog_time_q1
65,293.4848484848485,0.053910032,dns_interlog_time_q1
66,298.0,0.053910032,dns_interlog_time_q1
67,302.51515151515156,0.053910032,dns_interlog_time_q1
68,307.03030303030306,0.053910032,dns_interlog_time_q1
69,311.54545454545456,0.053910032,dns_interlog_time_q1
70,316.0606060606061,0.053910032,dns_interlog_time_q1
71,320.5757575757576,0.053910032,dns_interlog_time_q1
72,325.0909090909091,0.053910032,dns_interlog_time_q1
73,329.6060606060606,0.053910032,dns_interlog_time_q1
74,334.1212121212121,0.053910032,dns_interlog_time_q1
75,338.6363636363637,0.053910032,dns_interlog_time_q1
76,343.1515151515152,0.053910032,dns_interlog_time_q1
77,347.6666666666667,0.053910032,dns_interlog_time_q1
78,352.18181818181824,0.053910032,dns_interlog_time_q1
79,356.69696969696975,0.053910032,dns_interlog_time_q1
80,361.21212121212125,0.053910032,dns_interlog_time_q1
81,365.72727272727275,0.053910032,dns_interlog_time_q1
82,370.24242424242425,0.053910032,dns_interlog_time_q1
83,374.7575757575758,0.053910032,dns_interlog_time_q1
84,379.2727272727273,0.053910032,dns_interlog_time_q1
85,383.7878787878788,0.053910032,dns_interlog_time_q1
86,388.30303030303037,0.053910032,dns_interlog_time_q1
87,392.81818181818187,0.053910032,dns_interlog_time_q1
88,397.33333333333337,0.053910032,dns_interlog_time_q1
89,401.8484848484849,0.053910032,dns_interlog_time_q1
90,406.3636363636364,0.053910032,dns_interlog_time_q1
91,410.87878787878793,0.053910032,dns_interlog_time_q1
92,415.39393939393943,0.053910032,dns_interlog_time_q1
93,419.90909090909093,0.053910032,dns_interlog_time_q1
94,424.4242424242425,0.053910032,dns_interlog_time_q1
95,428.939393939394,0.053910032,dns_interlog_time_q1
96,433.4545454545455,0.053910032,dns_interlog_time_q1
97,437.969696969697,0.053910032,dns_interlog_time_q1
98,442.4848484848485,0.053910032,dns_interlog_time_q1
99,447.0,0.053910032,dns_interlog_time_q1
