,precision,recall,f1-score,support
0,0.7140804597701149,0.79182156133829,0.7509443465122134,1883.0
1,0.45327754532775455,0.3524945770065076,0.39658328248932273,922.0
accuracy,0.647415329768271,0.647415329768271,0.647415329768271,0.647415329768271
macro avg,0.5836790025489347,0.5721580691723988,0.5737638145007681,2805.0
weighted avg,0.6283548672154424,0.647415329768271,0.6344663069296447,2805.0
