,dns_interlog_time_q1,dns_interlog_time_q2,dns_interlog_time_q3,dns_interlog_time_q4,dns_interlog_time_q5,ssl_interlog_time_q1,ssl_interlog_time_q2,ssl_interlog_time_q3,ssl_interlog_time_q4,ssl_interlog_time_q5,http_interlog_time_q1,http_interlog_time_q2,http_interlog_time_q3,http_interlog_time_q4,http_interlog_time_q5,mean_interlog_time_dns_interlog_time,std_interlog_time_dns_interlog_time,mean_interlog_time_ssl_interlog_time,std_interlog_time_ssl_interlog_time,mean_interlog_time_http_interlog_time,std_interlog_time_http_interlog_time,dns_protocol_tcp_ratio,dns_common_tcp_ports_ratio,dns_common_udp_ports_ratio,dns_rcode_error_ratio,dns_rcode_nxdomain_ratio,dns_rcode_noauth_ratio,dns_rcode_refused_ratio,dns_rcode_notzone_ratio,dns_authoritative_ans_ratio,dns_recursion_desired_ratio,dns_rejected_ratio,dns_truncation_ratio,dns_mean_TTL,dns_len_TTL,dns_qtype_obsolete_ratio,dns_non_reserved_srcport_ratio,dns_non_reserved_dstport_ratio,dns_usual_dns_srcport_ratio,dns_usual_dns_dstport_ratio,dns_shorturl_ratio,dns_compromised_domain_ratio,dns_compromised_dstip_ratio,dns_socialmedia_ratio,ssl_version_ratio_v10,ssl_version_ratio_v20,ssl_version_ratio_v30,ssl_established_ratio,ssl_compromised_dst_ip_ratio,ssl_resumed_ratio,ssl_validation_status_ratio,ssl_curve_standard_ratio,ssl_last_alert_ratio,http_request_body_len_ratio,http_response_body_len_ratio,http_method_get_ratio,http_method_post_ratio,http_method_head_ratio,http_method_put_ratio,http_status_200_ratio,http_status_400_ratio,http_private_con_ratio,http_compromised_dstip_ratio,http_version_obsolete_ratio,smtp_in_mean_hops,smtp_subject_num_words,smtp_subject_num_characters,smtp_subject_richness,smtp_subject_in_phishing_words,smtp_in_is_reply,smtp_in_is_forwarded,smtp_in_is_normal,smtp_in_is_spam,smtp_in_files,smtp_in_hazardous_extensions,non_working_days_dns,non_working_days_http,non_working_days_ssl,non_working_hours_dns,non_working_hours_http,non_working_hours_ssl
0,0.0,0.0,0.0,0.0,0.0,135.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0538666666666665,0.0,8.413375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.4966887417218543,0.0,0.7682119205298014,1.0,0.9344262295081968,0.0,120.0,576.1,0.8,0.2,0.0,0.0,1.0,0.0,10.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,154.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,2.548422077922078,0.0,8.413375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5174418604651163,0.0,0.7674418604651163,0.9593023255813954,0.9288664379209556,0.0,100.0,558.6666666666666,0.8333333333333334,0.16666666666666666,0.0,0.0,1.0,0.0,8.666666666666666,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.167631578947367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6666666666666666,0.0,0.7619047619047619,0.6666666666666666,0.8888888888888887,0.0,0.0,471.5,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,3.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013666666666666667,0.0,0.4798800000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,58704.333333333336,1.6666666666666667,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.45454545454545453,0.0,0.8181818181818182,1.0,0.9629629629629629,0.0,0.0,69.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49656666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.48484848484848486,0.0,0.6666666666666666,1.0,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,8.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.18362499999999998,0.0,0.289546875,0.0,2.9022,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9166666666666666,0.0,0.0,0.0,2327.5324675324673,3.3636363636363638,0.3333333333333333,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.4852941176470588,0.0,0.6764705882352942,1.0,0.9,0.0,184.6153846153846,516.6153846153846,0.6923076923076923,0.3076923076923077,0.0,0.0,1.0,0.0,13.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,56.0,0.0,0.0,0.0,0.0,116.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.25669642857142855,0.0,0.44932758620689656,0.0,2.8145833333333337,0.0,0.0,0.0,0.8918918918918919,0.0,0.0,0.0,0.0,0.0,0.8243243243243243,0.0,0.0,0.0,3789.567305124201,2.7122765398627466,0.7837837837837838,0.9324324324324325,0.8243243243243243,0.8243243243243243,0.8108108108108109,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5203252032520326,0.0,0.7317073170731707,1.0,0.9252739483916579,0.0,282.3529411764706,543.7647058823529,0.5294117647058824,0.47058823529411764,0.0,0.0,1.0,0.0,10.882352941176471,0.0,0.058823529411764705,2.0,15.0,92.0,0.16304347826086957,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,48.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.26887500000000003,0.0,0.6459807692307694,0.0,2.3765,0.0,0.0,0.0,0.8709677419354839,0.0,0.0,0.0,0.0,0.0,0.8064516129032258,0.0,0.0,0.0,4072.5417898193755,2.586206896551724,0.8709677419354839,0.9354838709677419,0.8064516129032258,0.8064516129032258,0.8387096774193549,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5636363636363636,0.0,0.8,1.0,0.9565217391304348,0.0,600.0,632.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,2.0,15.0,92.0,0.16304347826086957,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,48.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.26887500000000003,0.0,0.6459807692307694,0.0,2.3765,0.0,0.0,0.0,0.8709677419354839,0.0,0.0,0.0,0.0,0.0,0.8064516129032258,0.0,0.0,0.0,4072.5417898193755,2.586206896551724,0.8709677419354839,0.9354838709677419,0.8064516129032258,0.8064516129032258,0.8387096774193549,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5636363636363636,0.0,0.8,1.0,0.9565217391304348,0.0,600.0,632.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,2.0,21.5,130.5,0.16436197581682532,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,16.0,0.0,0.0,0.0,0.0,158.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,5.7770624999999995,0.0,2.100341772151899,0.0,3.079555555555556,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3103448275862069,0.0,0.0,0.0,1844.7619047619048,3.7777777777777777,0.7586206896551724,0.3103448275862069,0.3103448275862069,0.3103448275862069,0.27586206896551724,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5287356321839081,0.0,0.8045977011494253,1.0,0.944954128440367,0.0,109.0909090909091,697.6363636363636,0.8181818181818182,0.18181818181818182,0.0,0.0,1.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
